county_name,fips,land_area_square_miles_2010,primary_ruca_code_2010,secondary_ruca_code_2010,tract_population_2010,tract_population_2018,population_estimate_2010,population_estimate_2011,population_estimate_2012,population_estimate_2013,population_estimate_2014,population_estimate_2015,population_estimate_2016,population_estimate_2018,pct_black_pop_2010,pct_black_pop_2018,pct_white_pop_2010,pct_white_pop_2018,groc09,groc14,superc09,superc14,convs09,convs14,specs09,specs14,poverty_rate,median_family_income,pct_hhold_no_veh,pct_hhold_1_veh,pct_hhold_2plus_veh,food_desert_2010,food_desert_2017
Alleghany,37005950200,29.95388589,10,10,3870,4075,11155,11024,10923,10896,10863,10812,10848,10973,0.012550426,0.02424132,0.922277006,0.942859747,4,3,0,0,8,8,2,1,28.1,33725,0.075242718,0.310072816,0.614684466,NA,0
Alleghany,37005950300,112.9266869,10,10,3206,2937,11155,11024,10923,10896,10863,10812,10848,10973,0.012550426,0.02424132,0.922277006,0.942859747,4,3,0,0,8,8,2,1,16.6,48300,0.019131714,0.211184695,0.769683591,NA,0
Anson,37007920100,101.6229793,2,2,3411,2749,26948,26508,26311,25959,26066,25632,25448,25306,0.485750334,0.487354778,0.471537776,0.477475697,5,3,1,1,19,19,3,3,13.5,39732,0.057377049,0.242622951,0.7,NA,0
Anson,37007920200,68.17443517,10,10,1738,1867,26948,26508,26311,25959,26066,25632,25448,25306,0.485750334,0.487354778,0.471537776,0.477475697,5,3,1,1,19,19,3,3,12.8,40958,0.054166667,0.273611111,0.672222222,NA,0
Anson,37007920300,122.5626296,2,2,8178,7559,26948,26508,26311,25959,26066,25632,25448,25306,0.485750334,0.487354778,0.471537776,0.477475697,5,3,1,1,19,19,3,3,20.1,43621,0.057964792,0.349076857,0.592958351,NA,0
Anson,37007920400,41.02429123,2,2,3032,3404,26948,26508,26311,25959,26066,25632,25448,25306,0.485750334,0.487354778,0.471537776,0.477475697,5,3,1,1,19,19,3,3,24.6,38453,0.156351792,0.316775244,0.526872964,NA,0
Anson,37007920500,35.42486259,2,2,6138,5801,26948,26508,26311,25959,26066,25632,25448,25306,0.485750334,0.487354778,0.471537776,0.477475697,5,3,1,1,19,19,3,3,31.9,34115,0.153676794,0.307793923,0.538529282,NA,1
Anson,37007920600,162.6423196,2,2,4451,3926,26948,26508,26311,25959,26066,25632,25448,25306,0.485750334,0.487354778,0.471537776,0.477475697,5,3,1,1,19,19,3,3,30,39963,0.110411899,0.295194508,0.594393593,NA,0
Ashe,37009970200,54.50307453,8,8,2884,2879,27281,27132,27099,27036,27000,26900,26924,26786,0.005901543,0.007429254,0.954877021,0.950795192,4,5,1,1,16,16,3,3,19,35897,0.077614379,0.255718954,0.666666667,1,1
Ashe,37009970300,82.67005098,8,8,2470,2546,27281,27132,27099,27036,27000,26900,26924,26786,0.005901543,0.007429254,0.954877021,0.950795192,4,5,1,1,16,16,3,3,21.9,37121,0.04820333,0.289219982,0.662576687,NA,0
Ashe,37009970400,32.33418379,7,7,4525,4765,27281,27132,27099,27036,27000,26900,26924,26786,0.005901543,0.007429254,0.954877021,0.950795192,4,5,1,1,16,16,3,3,22.9,46111,0.077297035,0.257170637,0.665532329,NA,0
Ashe,37009970500,41.7407405,7,7,6528,6025,27281,27132,27099,27036,27000,26900,26924,26786,0.005901543,0.007429254,0.954877021,0.950795192,4,5,1,1,16,16,3,3,25,41913,0.105458596,0.281099146,0.613442258,NA,1
Ashe,37009970700,92.20131252,8,8,5926,5449,27281,27132,27099,27036,27000,26900,26924,26786,0.005901543,0.007429254,0.954877021,0.950795192,4,5,1,1,16,16,3,3,11.6,59438,0,0.19782062,0.80217938,NA,0
Ashe,37009970800,122.6853352,8,8,4948,5122,27281,27132,27099,27036,27000,26900,26924,26786,0.005901543,0.007429254,0.954877021,0.950795192,4,5,1,1,16,16,3,3,23,47247,0.059027778,0.29296875,0.648003472,NA,0
Avery,37011930100,35.946743,10,10,3100,3515,17797,17766,17630,17704,17723,17592,17516,17501,0.039838175,0.044683161,0.919480811,0.914862008,6,4,0,0,11,14,1,0,22.2,58929,0.051927616,0.326514555,0.621557828,NA,0
Avery,37011930200,79.53777431,10,10,2723,2024,17797,17766,17630,17704,17723,17592,17516,17501,0.039838175,0.044683161,0.919480811,0.914862008,6,4,0,0,11,14,1,0,13.1,60639,0.050645482,0.459781529,0.489572989,NA,0
Avery,37011930301,35.42731472,10,10,3515,3567,17797,17766,17630,17704,17723,17592,17516,17501,0.039838175,0.044683161,0.919480811,0.914862008,6,4,0,0,11,14,1,0,16.5,52298,0.052478134,0.311953353,0.635568513,NA,0
Avery,37011930302,43.44696694,10,10,3130,2811,17797,17766,17630,17704,17723,17592,17516,17501,0.039838175,0.044683161,0.919480811,0.914862008,6,4,0,0,11,14,1,0,25,31484,0.013900245,0.33524121,0.650858545,NA,0
Avery,37011930400,52.72800376,7,7,5329,5584,17797,17766,17630,17704,17723,17592,17516,17501,0.039838175,0.044683161,0.919480811,0.914862008,6,4,0,0,11,14,1,0,15.9,42019,0.024799416,0.246535376,0.728665208,NA,0
Beaufort,37013930100,186.6016897,10,10,5351,5208,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,24.9,44554,0.100840336,0.355152587,0.544007077,NA,0
Beaufort,37013930200,139.0010795,5,5,6185,6423,47759,47707,47497,47496,47505,47543,47526,47243,0.255930819,0.255085409,0.681567872,0.714412717,10,10,1,1,32,30,3,4,18.2,59792,0.033862876,0.243729097,0.722408027,NA,0
